name,date,status,note,association
מפקד פלוגה,2026-04-26,activity,תרגיל,מפקדה
מפקד פלוגה,2026-04-27,activity,,מפקדה
מפקד פלוגה,2026-04-28,activity,,מפקדה
מפקד פלוגה,2026-04-29,activity,,מפקדה
מפקד פלוגה,2026-04-30,activity,,מפקדה
מפקד פלוגה,2026-05-01,activity,,מפקדה
מפקד פלוגה,2026-05-02,activity,,מפקדה
מפקד פלוגה,2026-05-03,activity,,מפקדה
מפקד פלוגה,2026-05-04,activity,,מפקדה
מפקד פלוגה,2026-05-05,activity,,מפקדה
מפקד פלוגה,2026-05-06,activity,,מפקדה
מפקד פלוגה,2026-05-07,activity,,מפקדה
מפקד פלוגה,2026-05-08,switch-home,,מפקדה
מפקד פלוגה,2026-05-09,home,,מפקדה
מפקד פלוגה,2026-05-10,switch-base,,מפקדה
מפקד פלוגה,2026-05-11,activity,,מפקדה
מפקד פלוגה,2026-05-12,activity,,מפקדה
מפקד פלוגה,2026-05-13,activity,,מפקדה
מפקד פלוגה,2026-05-14,activity,,מפקדה
מפקד פלוגה,2026-05-15,activity,,מפקדה
מפקד פלוגה,2026-05-16,activity,,מפקדה
מפקד פלוגה,2026-05-17,activity,,מפקדה
מפקד פלוגה,2026-05-18,activity,תרגיל,מפקדה
מפקד פלוגה,2026-05-19,activity,,מפקדה
מפקד פלוגה,2026-05-20,activity,,מפקדה
מפקד פלוגה,2026-05-21,activity,,מפקדה
מפקד פלוגה,2026-05-22,activity,,מפקדה
מפקד פלוגה,2026-05-23,activity,,מפקדה
מפקד פלוגה,2026-05-24,activity,,מפקדה
מפקד פלוגה,2026-05-25,activity,אימון ירי,מפקדה
מפקד פלוגה,2026-05-26,activity,,מפקדה
מפקד פלוגה,2026-05-27,activity,,מפקדה
מפקד פלוגה,2026-05-28,activity,,מפקדה
מפקד פלוגה,2026-05-29,activity,,מפקדה
מפקד פלוגה,2026-05-30,activity,,מפקדה
מפקד פלוגה,2026-05-31,activity,,מפקדה
מפקד פלוגה,2026-06-01,activity,,מפקדה
מפקד פלוגה,2026-06-02,activity,,מפקדה
מפקד פלוגה,2026-06-03,activity,,מפקדה
מפקד פלוגה,2026-06-04,activity,,מפקדה
מפקד פלוגה,2026-06-05,activity,,מפקדה
מפקד פלוגה,2026-06-06,activity,,מפקדה
